epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,147.943,1.35495,0.49959,1.01966,0.99563,1,0.995,0.5672,1.49905,0.48419,1.08856,0.0008714,0.0008714,0.0008714
59,149.814,1.3883,0.51195,0.98599,0.9974,1,0.995,0.57716,1.49002,0.4828,1.08192,0.0008516,0.0008516,0.0008516
60,151.676,1.41039,0.51334,1.02584,0.99631,1,0.995,0.5868,1.48213,0.49099,1.07772,0.0008318,0.0008318,0.0008318
61,153.584,1.39394,0.51821,0.97182,0.99613,1,0.995,0.58396,1.49505,0.48466,1.08093,0.000812,0.000812,0.000812
62,155.44,1.36348,0.5067,0.98716,0.99555,1,0.995,0.5922,1.46918,0.47595,1.07503,0.0007922,0.0007922,0.0007922
63,157.49,1.39698,0.51021,1.02478,0.99841,1,0.995,0.59453,1.48072,0.48301,1.08008,0.0007724,0.0007724,0.0007724
64,159.472,1.35994,0.50327,0.98727,0.99973,1,0.995,0.60408,1.46146,0.4682,1.06777,0.0007526,0.0007526,0.0007526
65,161.51,1.33814,0.49357,0.98342,0.99961,1,0.995,0.60344,1.45224,0.46651,1.06568,0.0007328,0.0007328,0.0007328
66,163.441,1.3538,0.49604,0.98321,0.99953,1,0.995,0.59941,1.45797,0.46331,1.06986,0.000713,0.000713,0.000713
67,165.396,1.35531,0.49563,0.9525,0.99962,1,0.995,0.59501,1.4699,0.46105,1.07303,0.0006932,0.0006932,0.0006932
68,167.356,1.34385,0.49779,0.98263,0.99968,1,0.995,0.59502,1.46406,0.46524,1.07134,0.0006734,0.0006734,0.0006734
69,169.281,1.37705,0.49335,1.0103,0.99969,1,0.995,0.59743,1.46456,0.46939,1.07612,0.0006536,0.0006536,0.0006536
70,171.258,1.34959,0.48368,0.99026,0.99974,1,0.995,0.58883,1.49045,0.47933,1.08841,0.0006338,0.0006338,0.0006338
71,173.222,1.37026,0.48022,1.02355,0.99972,1,0.995,0.58864,1.50237,0.48255,1.09102,0.000614,0.000614,0.000614
72,175.094,1.37932,0.4946,1.02293,0.99965,1,0.995,0.58968,1.47859,0.4697,1.0821,0.0005942,0.0005942,0.0005942
73,177.212,1.34894,0.47152,1.0256,0.99965,1,0.995,0.58366,1.49796,0.47455,1.08768,0.0005744,0.0005744,0.0005744
74,179.299,1.34582,0.48075,1.00223,0.9997,1,0.995,0.58034,1.50825,0.47579,1.08748,0.0005546,0.0005546,0.0005546
75,181.212,1.31312,0.48652,0.96284,0.99971,1,0.995,0.59089,1.48966,0.47008,1.07845,0.0005348,0.0005348,0.0005348
76,183.152,1.32085,0.47834,0.99044,0.99967,1,0.995,0.59733,1.48605,0.46675,1.07756,0.000515,0.000515,0.000515
77,185.075,1.35485,0.48693,1.00878,0.99967,1,0.995,0.59984,1.47455,0.46054,1.07584,0.0004952,0.0004952,0.0004952
78,187.03,1.30504,0.4773,0.96628,0.99968,1,0.995,0.6019,1.46815,0.45567,1.07349,0.0004754,0.0004754,0.0004754
79,188.908,1.31389,0.47005,0.98782,0.99971,1,0.995,0.59976,1.46934,0.45406,1.074,0.0004556,0.0004556,0.0004556
80,190.84,1.28866,0.46224,0.97674,0.99972,1,0.995,0.59739,1.48501,0.45578,1.0804,0.0004358,0.0004358,0.0004358
81,192.918,1.28264,0.46672,0.98856,0.99974,1,0.995,0.601,1.48077,0.45462,1.08023,0.000416,0.000416,0.000416
82,194.852,1.2813,0.46449,0.96854,0.99975,1,0.995,0.60209,1.47851,0.45609,1.08083,0.0003962,0.0003962,0.0003962
83,196.767,1.3052,0.46617,0.96681,0.99976,1,0.995,0.60993,1.48477,0.45449,1.08141,0.0003764,0.0003764,0.0003764
84,198.965,1.29483,0.45254,0.98251,0.99974,1,0.995,0.60871,1.49641,0.45051,1.08046,0.0003566,0.0003566,0.0003566
85,200.94,1.27948,0.45648,0.9769,0.99975,1,0.995,0.60653,1.49185,0.44914,1.07935,0.0003368,0.0003368,0.0003368
86,202.9,1.28624,0.45217,1.00273,0.99974,1,0.995,0.59866,1.49299,0.4536,1.0814,0.000317,0.000317,0.000317
87,204.786,1.27444,0.4563,0.97378,0.99973,1,0.995,0.59481,1.49491,0.45554,1.08336,0.0002972,0.0002972,0.0002972
88,206.682,1.28411,0.45203,0.99785,0.99976,1,0.995,0.59049,1.4998,0.45701,1.08616,0.0002774,0.0002774,0.0002774
89,208.595,1.25651,0.45236,0.97185,0.99986,1,0.995,0.58981,1.49502,0.45684,1.08386,0.0002576,0.0002576,0.0002576
90,210.531,1.26879,0.46044,0.94417,0.99988,1,0.995,0.59185,1.48953,0.45612,1.08148,0.0002378,0.0002378,0.0002378
91,215.885,1.2524,0.43507,1.01517,0.99972,1,0.995,0.59301,1.5003,0.45694,1.08428,0.000218,0.000218,0.000218
92,217.912,1.26957,0.44302,0.99971,0.99977,1,0.995,0.58831,1.51298,0.46345,1.09067,0.0001982,0.0001982,0.0001982
93,220.027,1.25959,0.4447,0.99736,0.99988,1,0.995,0.58245,1.51716,0.46082,1.09346,0.0001784,0.0001784,0.0001784
94,221.901,1.23602,0.42905,1.0077,0.99984,1,0.995,0.5742,1.52381,0.46436,1.09504,0.0001586,0.0001586,0.0001586
95,223.787,1.26646,0.44328,0.99363,0.99981,1,0.995,0.57593,1.52517,0.45926,1.09384,0.0001388,0.0001388,0.0001388
96,225.874,1.22574,0.42625,0.99506,0.99976,1,0.995,0.5834,1.50506,0.45275,1.08639,0.000119,0.000119,0.000119
97,227.84,1.24927,0.45216,0.97121,0.99976,1,0.995,0.58773,1.50243,0.44915,1.08507,9.92e-05,9.92e-05,9.92e-05
98,230.089,1.22339,0.44406,0.98736,0.99975,1,0.995,0.59006,1.49862,0.44823,1.08459,7.94e-05,7.94e-05,7.94e-05
99,232.071,1.22935,0.43217,0.99,0.99975,1,0.995,0.58928,1.49696,0.44877,1.08448,5.96e-05,5.96e-05,5.96e-05
100,234.64,1.22513,0.43119,0.99657,0.99974,1,0.995,0.59082,1.49645,0.44843,1.08539,3.98e-05,3.98e-05,3.98e-05
