epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,59.8343,1.34422,0.52417,0.97715,0.9997,1,0.995,0.58229,1.46167,0.48199,1.04541,0.0002972,0.0002972,0.0002972
88,60.5351,1.34709,0.53336,0.9995,0.99963,1,0.995,0.57954,1.45251,0.48786,1.04592,0.0002774,0.0002774,0.0002774
89,61.1484,1.30748,0.51938,0.96755,0.99964,1,0.995,0.58343,1.45076,0.48789,1.0453,0.0002576,0.0002576,0.0002576
90,61.7993,1.31485,0.51742,0.94475,0.99965,1,0.995,0.58318,1.44525,0.48775,1.04137,0.0002378,0.0002378,0.0002378
91,65.7377,1.30783,0.52124,1.01363,0.99967,1,0.995,0.57824,1.44891,0.48557,1.04163,0.000218,0.000218,0.000218
92,66.5593,1.32798,0.51278,1.00104,0.99968,1,0.995,0.57696,1.458,0.48614,1.04295,0.0001982,0.0001982,0.0001982
93,67.2706,1.31711,0.51876,0.99871,0.99966,1,0.995,0.57485,1.45542,0.4882,1.04204,0.0001784,0.0001784,0.0001784
94,67.9064,1.28578,0.51597,1.00495,0.99962,1,0.995,0.57837,1.45476,0.48835,1.04261,0.0001586,0.0001586,0.0001586
95,68.5137,1.33095,0.52092,0.99811,0.9996,1,0.995,0.57725,1.45796,0.48997,1.04359,0.0001388,0.0001388,0.0001388
96,69.1417,1.29911,0.5128,0.99927,0.99964,1,0.995,0.57854,1.45204,0.48688,1.04309,0.000119,0.000119,0.000119
97,69.7499,1.32587,0.54234,0.97788,0.99966,1,0.995,0.57982,1.45445,0.4835,1.04444,9.92e-05,9.92e-05,9.92e-05
98,70.3618,1.30474,0.52735,0.99757,0.9997,1,0.995,0.57895,1.45634,0.4836,1.04485,7.94e-05,7.94e-05,7.94e-05
99,70.9807,1.30963,0.5113,0.9962,0.99975,1,0.995,0.5804,1.45959,0.48417,1.04552,5.96e-05,5.96e-05,5.96e-05
100,71.6717,1.30764,0.5125,1.00032,0.99976,1,0.995,0.58248,1.46385,0.48388,1.0463,3.98e-05,3.98e-05,3.98e-05
